Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,VSA,y
2,0,4,5,6,-1.55078,-0.80615,-1.68062,0.28783,0.7583,-0.21712,-2.07848,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
3,1,4,5,6,-0.79151,-0.43999,-1.27553,0.94156,-0.00665,-0.21712,0.40148,5,1,2,0,1,2,0,2,0,0,3,2,0,2,0,0
4,0,3,1,6,-0.05188,-1.6334,-3.27393,-0.76096,0.58489,0.19268,-1.54858,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
1,1,6,5,5,-1.05308,1.45421,0.44585,1.2861,0.93949,-0.21712,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,8,5,6,-1.55078,0.47617,1.06238,-0.45321,0.93949,-1.37983,-0.52593,6,1,0,1,6,4,0,0,0,0,0,1,0,1,0,0
3,0,5,1,6,0.04257,0.63779,-0.31776,-0.30172,0.12331,0.19268,0.7654,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,6,6,1.8399,-1.92173,-2.39883,1.11406,0.25953,-0.21712,-1.54858,5,0,0,6,1,0,0,0,0,0,0,1,1,0,0,1
3,0,1,5,6,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,5,6,-1.69163,1.58487,-0.58331,1.81866,1.63088,0.52975,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,5,6,-0.79151,0.63779,-1.11902,1.2861,0.58489,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,5,5,1,-1.69163,1.2861,-0.58331,1.2861,2.04506,-0.71126,-0.52593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,6,-0.05188,-1.09207,-2.63199,-0.91699,0.25953,-1.37983,-1.54858,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,5,1,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,5,6,0.41667,-1.37639,-2.09015,0.59042,-0.27607,-1.37983,-2.07848,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
1,0,5,1,6,-0.79151,-0.30033,-0.17779,0.28783,-0.52745,0.88113,0.07987,5,1,0,1,5,1,1,1,0,0,0,1,0,1,0,1
0,0,6,5,6,-0.58016,0.16767,-0.84732,1.11406,1.46191,0.52975,1.2247,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,5,6,-0.14882,1.11406,0.29338,-0.91699,-1.0145,1.86203,0.40148,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,5,0,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,5,6,1.98437,-1.50796,-0.17779,1.11406,-2.90161,-0.71126,-0.52593,5,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0
2,1,8,5,6,0.04257,0.00332,0.88309,-2.70172,-0.27607,-0.71126,0.07987,4,1,1,1,1,2,0,2,0,0,2,1,0,1,1,1
1,1,4,5,6,-1.05308,1.45421,1.06238,0.76096,-0.14277,0.52975,0.07987,5,2,2,2,4,3,0,3,0,2,0,2,0,3,0,1
4,1,7,5,6,-0.05188,0.16767,0.7233,-0.01729,-0.89891,-0.71126,-0.84637,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,5,6,0.62967,-1.09207,0.44585,-0.76096,-0.40581,-1.37983,-0.52593,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1
4,0,5,5,6,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,-0.21712,0.07987,6,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0
2,0,3,5,6,-1.69163,0.80523,-0.17779,-0.01729,1.63088,0.19268,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,5,6,0.52135,-0.30033,-0.97631,1.81866,1.63088,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,7,5,6,-1.86962,0.16767,1.43533,1.81866,1.13407,-0.71126,-0.84637,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
2,1,5,5,6,0.13606,-0.30033,0.14143,-0.15487,-0.27607,-0.21712,-0.84637,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
3,0,6,5,6,1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,5,1,6,0.04257,-0.30033,-0.31776,-0.76096,0.58489,1.29221,0.7654,1,0,1,4,5,1,1,0,0,0,6,1,4,1,1,0
0,0,2,6,6,-1.43907,1.93886,0.44585,0.13136,0.25953,0.88113,1.92173,5,3,0,5,6,0,0,3,0,0,4,0,4,3,2,1
1,0,7,5,6,-1.86962,-0.69509,-0.97631,-0.45321,2.04506,-1.37983,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8,5,6,0.62967,0.47617,-0.45174,-0.01729,1.30612,0.52975,0.07987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,6,6,-0.92104,0.96248,0.44585,-0.60633,-0.40581,0.52975,-0.21575,5,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2,1,1,5,6,-1.86962,0.80523,-1.55521,-0.45321,1.13407,-0.21712,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
2,0,5,5,6,0.31287,1.2861,1.65653,-0.30172,0.93949,0.52975,0.07987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,6,6,-1.32828,-0.15487,0.29338,-0.91699,0.41594,0.52975,0.07987,2,1,0,1,6,1,0,1,0,0,0,1,0,0,0,0
3,0,5,6,6,0.04257,0.16767,-0.58331,0.43852,0.25953,-0.21712,-0.52593,5,1,0,2,6,1,0,0,0,0,2,1,0,2,0,1
1,0,0,6,6,-0.24649,0.63779,-0.71727,-0.91699,0.25953,1.29221,-0.21575,3,2,0,3,3,3,3,3,3,0,0,3,3,2,2,1
4,1,7,5,6,-0.67825,-0.94779,0.7233,-0.91699,0.58489,-1.37983,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,5,6,-0.14882,0.80523,-1.27553,-0.01729,2.04506,0.19268,-1.18084,5,2,1,0,2,2,0,2,0,1,0,1,0,0,0,1
0,1,3,5,6,-2.05048,-0.30033,0.14143,-0.15487,-0.89891,0.88113,0.40148,3,0,0,0,6,0,0,4,0,0,0,0,0,0,0,1
3,1,6,5,6,-1.69163,2.127,0.14143,0.28783,-0.40581,0.19268,-0.21575,5,0,1,0,2,0,0,0,0,0,2,0,0,2,1,0
0,0,7,5,0,0.82562,-0.69509,-0.58331,-0.60633,-1.0145,-0.71126,0.7654,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,5,6,-1.32828,0.00332,-1.27553,-0.60633,0.12331,0.88113,0.7654,6,0,2,3,3,0,0,2,0,0,0,0,0,0,0,1
4,1,6,5,6,-1.43907,0.80523,-0.17779,-0.91699,-0.14277,-0.71126,0.07987,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,4,5,6,1.23461,0.80523,0.88309,-0.15487,1.13407,0.88113,0.7654,6,4,3,5,6,2,0,3,2,2,3,2,0,3,1,1
2,1,4,5,6,-1.32828,0.16767,0.58331,1.2861,-0.65253,0.88113,0.07987,5,3,2,3,6,3,0,4,0,4,4,5,0,4,0,1
0,1,4,6,6,-1.43907,1.58487,1.65653,0.76096,2.63199,-0.71126,-1.18084,5,4,3,3,2,3,0,3,3,4,4,4,3,4,0,1
3,1,3,5,6,-2.21844,1.11406,-0.31776,0.59042,-0.40581,0.19268,-0.52593,5,3,1,0,6,2,0,4,1,2,6,3,0,5,1,0
0,1,7,6,6,1.37297,-0.80615,0.88309,-0.01729,0.25953,-0.21712,0.7654,4,2,0,3,5,0,0,3,0,0,3,3,0,2,0,1
0,1,4,5,6,-0.05188,1.11406,0.7233,-0.45321,0.41594,-0.21712,1.2247,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0,1,3,5,6,0.73545,0.00332,2.15324,0.13136,-1.5184,1.29221,0.7654,6,0,0,0,3,0,0,4,0,4,5,3,0,3,2,1
2,0,6,6,6,1.02119,-0.30033,1.06238,-1.07533,0.41594,-1.37983,-0.84637,6,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0
0,0,4,6,6,-1.1943,2.32338,1.24033,0.94156,0.93949,0.19268,0.7654,5,0,0,0,6,0,0,5,0,0,0,4,0,0,0,1
0,1,3,6,6,-0.67825,-0.30033,-1.11902,-0.76096,-1.5184,0.88113,-0.21575,4,6,0,3,6,3,0,6,0,0,3,4,3,4,2,1
3,1,6,6,6,-1.1943,-0.57545,-0.58331,0.13136,0.41594,-0.71126,-0.84637,5,6,1,2,3,1,1,0,1,0,5,1,0,1,0,0
1,1,4,6,6,-0.34799,0.32197,1.88511,0.76096,-1.13788,0.88113,0.40148,5,3,0,5,2,3,3,0,5,0,0,2,3,2,0,1
1,1,7,5,6,1.13281,-0.30033,0.88309,-0.60633,0.93949,-0.21712,0.07987,6,0,2,5,2,2,0,2,0,0,3,0,0,0,0,1
0,0,3,5,6,1.23461,0.96248,0.44585,-0.30172,-0.27607,0.52975,0.40148,5,6,0,4,3,0,0,4,0,5,5,0,0,0,0,1
