Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,AScore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,VSA,y
3,1,1,5,6,0.52135,-1.23177,-0.31776,-0.45321,-1.38502,-1.37983,-0.84637,6,1,1,0,6,1,0,1,0,2,0,1,0,1,0,1
2,1,5,5,6,-0.34799,-1.7625,-2.39883,-1.92595,0.7583,-1.37983,-2.07848,4,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0
4,1,6,5,6,-0.14882,0.63779,1.24033,0.76096,1.46191,-0.21712,-0.52593,5,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1
2,1,7,5,6,0.04257,-0.43999,-0.01928,-2.07848,0.7583,-0.71126,0.07987,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,7,5,6,-0.14882,-0.94779,-1.27553,-0.01729,-0.65253,-0.21712,-0.52593,6,0,3,5,2,6,0,4,0,2,2,0,0,0,0,0
2,0,4,5,6,0.04257,0.00332,-1.68062,-0.01729,0.25953,-1.37983,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,4,5,6,0.73545,0.47617,-0.84732,1.11406,0.58489,0.52975,-0.21575,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7,5,6,-0.46725,0.32197,1.06238,-1.6209,1.13407,0.52975,-0.21575,6,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
1,0,6,5,6,-0.46725,2.127,0.14143,0.13136,0.7583,1.86203,1.2247,5,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0
1,1,7,5,6,0.31287,-1.09207,-0.84732,-0.60633,-0.65253,0.19268,0.40148,6,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0
2,1,4,5,6,-2.3436,1.93886,1.43533,-0.76096,-1.38502,1.86203,1.2247,4,1,1,2,6,1,0,2,2,2,0,2,0,2,0,1
1,0,6,5,6,0.22393,-0.69509,-0.45174,-0.01729,0.12331,1.29221,0.07987,5,1,0,0,3,2,0,0,0,0,0,0,0,0,1,1
3,0,2,5,6,-0.34799,-0.80615,-0.84732,0.28783,0.93949,-1.37983,-2.07848,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,8,5,0,0.04257,0.63779,0.14143,0.13136,0.25953,-0.21712,-1.18084,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,5,6,0.91093,0.32197,-1.42424,0.43852,2.33337,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,3,4,6,-0.24649,-0.57545,-0.58331,-0.15487,0.25953,-1.37983,-1.54858,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,6,5,6,-1.1943,1.58487,0.29338,0.76096,0.41594,-2.55524,-1.18084,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,6,5,6,-0.46725,-0.80615,0.14143,0.28783,0.93949,-1.37983,-1.18084,6,0,0,4,1,0,0,0,0,0,0,0,2,0,0,1
2,1,7,5,1,-0.58016,0.47617,-0.71727,0.13136,0.93949,-0.21712,-0.52593,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,5,6,-0.67825,0.96248,-1.68062,0.76096,0.7583,-0.21712,-0.52593,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,0,6,5,1,0.62967,-1.37639,-1.27553,0.28783,-0.27607,-0.71126,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,5,5,-0.14882,-0.57545,-0.84732,-1.21213,-0.52745,-1.37983,-1.18084,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,6,0.41667,-0.15487,-0.97631,1.11406,-0.65253,-1.37983,-1.18084,5,1,0,0,2,1,0,1,0,0,0,1,0,1,0,1
0,0,6,5,6,-0.05188,1.2861,0.58331,0.13136,0.41594,0.88113,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,5,0,-1.43907,0.47617,1.06238,-0.45321,1.13407,-1.37983,-0.84637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,5,6,0.73545,0.16767,-1.42424,-0.01729,-1.25773,1.86203,0.7654,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,5,4,6,0.52135,-0.15487,-1.27553,0.94156,0.12331,-1.37983,-1.54858,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,5,6,-0.14882,1.11406,0.44585,1.2861,1.30612,0.19268,1.2247,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,0,6,5,6,-0.14882,0.47617,-0.45174,-0.76096,0.93949,0.52975,-0.52593,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,6,5,6,0.41667,0.96248,-0.01928,-0.91699,1.63088,0.19268,0.40148,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,0,1,5,6,0.91093,-0.15487,-2.21069,0.28783,1.30612,-1.37983,-2.07848,5,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1
1,0,6,5,6,-0.58016,1.11406,0.7233,0.94156,0.93949,-1.37983,-0.21575,5,3,1,2,3,3,2,2,0,0,3,0,0,0,1,1
3,1,7,5,6,-0.92104,-0.30033,-1.11902,0.59042,1.63088,-0.21712,-0.52593,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,5,6,-2.42317,0.16767,-0.31776,2.03972,1.81175,-0.71126,-1.18084,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,8,5,6,-0.79151,0.16767,0.29338,-0.01729,0.93949,-1.37983,-2.07848,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
5,1,5,5,6,-1.05308,-0.30033,0.29338,0.43852,0.7583,-0.21712,-0.52593,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,5,6,-0.92104,1.58487,0.14143,-0.30172,0.7583,0.19268,0.40148,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,5,6,0.62967,-1.09207,0.44585,-0.76096,-0.40581,-1.37983,-0.52593,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1
4,0,5,5,6,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,-0.21712,0.07987,6,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0
3,1,7,5,6,-0.46725,-0.57545,-0.71727,1.11406,0.7583,-0.71126,-0.52593,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,0,7,5,6,-0.34799,0.00332,-0.45174,0.28783,0.12331,-1.37983,-0.52593,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,5,5,6,0.04257,0.00332,-0.71727,0.28783,0.93949,-1.37983,-1.18084,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5,5,6,-0.79151,1.2861,-0.17779,0.94156,2.33337,0.19268,-0.52593,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,5,5,6,-1.05308,0.47617,-0.71727,0.76096,0.7583,-0.21712,-0.21575,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,5,6,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,-1.37983,-0.84637,6,2,2,2,2,6,2,3,0,2,0,2,0,2,0,1
3,0,7,5,1,0.62967,0.16767,-0.17779,-0.01729,1.30612,-0.21712,-0.84637,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,5,5,6,0.62967,0.00332,-0.01928,-0.15487,0.58489,0.19268,-0.52593,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,1,5,5,1,-0.58016,0.32197,-0.45174,-0.15487,0.25953,-0.21712,-1.18084,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,5,6,1.02119,-0.57545,0.88309,1.2861,-0.65253,0.88113,-0.21575,4,2,1,4,2,2,2,2,2,2,0,1,2,1,1,1
2,0,5,5,6,0.62967,0.63779,1.06238,0.94156,1.30612,0.88113,0.40148,5,5,2,4,3,3,2,3,2,2,0,1,2,1,2,1
2,0,6,5,0,-1.05308,0.47617,-0.17779,-0.15487,0.58489,-1.37983,-1.18084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,5,6,-1.1943,0.47617,0.29338,0.43852,0.25953,0.19268,-0.21575,5,0,0,5,2,0,0,0,0,0,0,1,2,1,0,1
0,1,3,1,6,0.22393,0.32197,0.14143,-0.91699,-0.27607,-0.71126,0.07987,5,2,0,0,6,0,0,2,0,0,2,2,0,3,0,1
3,1,6,5,6,-0.34799,-1.7625,0.7233,-0.91699,0.12331,-0.21712,-0.52593,6,1,1,0,4,1,0,3,0,0,1,1,0,2,0,0
5,1,5,5,6,0.13606,0.16767,0.29338,-1.34289,1.46191,-1.37983,-0.84637,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,3,6,0.82562,-0.94779,0.58331,0.59042,0.7583,0.52975,-0.21575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,5,1,-0.24649,0.16767,-0.97631,0.76096,0.58489,0.19268,-1.54858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,5,5,6,-0.58016,-0.43999,-2.39883,0.13136,-0.40581,-0.71126,-0.21575,5,0,2,0,2,2,0,2,0,0,0,2,0,0,0,1
2,0,6,5,6,-1.86962,0.63779,-0.97631,-0.30172,0.58489,-0.21712,-0.52593,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
1,1,4,5,6,0.31287,-1.7625,-1.42424,-0.30172,-0.40581,0.52975,-0.84637,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1
2,1,6,3,6,0.62967,-0.80615,-0.17779,-1.34289,-0.14277,0.88113,0.07987,6,1,1,1,6,3,0,3,0,1,3,3,0,4,2,0
2,1,1,5,6,0.41667,0.63779,-0.71727,-0.76096,-0.27607,-0.21712,-0.21575,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,0,6,5,6,1.02119,-0.94779,-0.58331,-0.91699,0.41594,-0.21712,-1.54858,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,6,6,6,-1.1943,0.96248,-0.45174,0.76096,0.93949,-0.71126,-0.84637,3,1,0,0,6,1,0,0,0,0,0,1,0,0,0,0
2,0,5,5,6,1.49158,-0.69509,-0.71727,-1.21213,-1.25773,1.29221,0.7654,6,0,1,6,2,3,0,0,0,0,0,0,0,0,0,1
2,0,6,0,6,1.02119,0.16767,0.29338,-0.15487,0.58489,0.19268,0.40148,6,2,1,6,3,2,0,2,1,1,0,1,2,1,0,1
2,0,3,6,6,1.8399,-1.7625,1.24033,-1.07533,0.25953,0.19268,-0.52593,4,0,0,6,6,1,1,0,1,0,0,1,0,1,0,1
0,1,4,5,6,0.73545,-1.6334,0.88309,-1.21213,-1.64101,-1.37983,-0.52593,6,0,0,0,3,0,0,5,0,3,3,4,0,4,0,1
1,0,5,5,6,-0.58016,-0.15487,-1.42424,-0.01729,-0.40581,0.88113,-2.07848,3,1,0,0,2,0,0,1,0,0,0,0,2,0,1,1
3,1,5,3,6,0.41667,0.47617,0.29338,-1.07533,-1.13788,0.88113,0.07987,3,1,0,3,2,2,0,1,0,0,0,1,0,1,0,1
4,1,3,5,6,-1.86962,0.47617,-1.11902,-0.01729,0.41594,-0.71126,-0.52593,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,6,5,6,0.91093,0.00332,0.58331,-1.92595,0.58489,-0.21712,-1.18084,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1,7,5,6,-1.32828,1.2861,-0.17779,0.59042,1.81175,-2.55524,-1.18084,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,7,5,6,0.22393,-0.94779,-1.11902,-0.01729,0.93949,-0.71126,-1.18084,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,5,6,-1.86962,0.80523,-1.55521,-0.45321,1.13407,-0.21712,0.07987,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
3,0,7,5,6,1.02119,-0.15487,0.29338,1.11406,1.46191,-1.37983,-1.54858,6,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0
2,0,5,5,6,0.31287,1.2861,1.65653,-0.30172,0.93949,0.52975,0.07987,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,5,6,-0.05188,-0.43999,-0.84732,-0.45321,0.41594,-0.21712,-0.21575,6,1,2,0,2,0,0,0,0,0,0,1,0,1,0,1
2,1,8,5,6,-1.69163,-0.94779,-1.55521,1.81866,0.58489,-2.55524,-0.84637,5,1,1,2,5,3,0,4,0,0,0,0,0,2,0,1
3,1,6,5,6,0.04257,-0.30033,-0.31776,-0.76096,-0.40581,1.29221,-0.52593,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,6,5,6,-0.24649,-1.09207,-0.71727,-0.15487,1.46191,-1.37983,-0.84637,6,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1
2,0,6,5,6,0.52135,-0.15487,-0.45174,-0.15487,-0.65253,-1.37983,-0.52593,3,2,2,2,3,3,1,2,0,2,2,2,0,3,0,0
2,0,5,5,6,0.91093,-0.69509,1.24033,-1.21213,-1.5184,1.29221,1.92173,4,0,0,6,4,0,0,0,0,0,3,0,6,1,0,1
1,0,6,5,6,-0.14882,-0.15487,-0.97631,0.13136,0.41594,-0.71126,-0.52593,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,6,6,6,-0.05188,-0.94779,0.88309,-0.01729,-0.65253,-0.21712,-0.52593,6,5,0,3,5,2,0,2,1,0,0,3,0,2,0,1
2,0,4,3,6,0.91093,0.16767,0.44585,-0.91699,0.12331,1.29221,1.2247,5,2,0,2,6,2,1,3,1,0,3,2,0,2,1,1
2,1,4,6,6,-0.79151,-0.30033,-0.58331,-0.60633,0.25953,-0.71126,-0.52593,6,1,1,1,6,1,1,1,1,1,3,1,1,1,1,0
0,0,4,6,6,0.62967,0.47617,1.06238,1.81866,0.25953,-0.21712,0.40148,5,3,0,6,6,3,3,2,2,0,2,3,3,3,2,1
0,1,4,5,6,0.73545,1.11406,1.43533,-1.47955,-1.78169,0.88113,0.7654,6,3,3,3,6,3,0,3,0,3,3,0,0,3,0,1
0,1,3,3,6,-1.1943,-0.43999,0.58331,0.28783,-0.00665,-0.71126,-0.21575,4,2,0,2,4,0,0,4,2,2,2,5,2,2,0,1
3,1,3,5,6,-2.21844,1.11406,-0.31776,0.59042,-0.40581,0.19268,-0.52593,5,3,1,0,6,2,0,4,1,2,6,3,0,5,1,0
0,0,5,6,6,1.02119,-2.11437,-0.17779,0.43852,-0.00665,-1.37983,-0.84637,4,3,0,0,3,3,0,2,2,0,3,2,3,2,0,1
0,0,4,6,6,-0.24649,0.47617,0.88309,-0.01729,1.13407,-0.21712,1.2247,6,5,0,4,3,3,0,3,0,0,0,3,0,0,0,1
0,1,4,6,6,0.62967,-0.15487,0.58331,-1.6209,-0.14277,1.29221,1.92173,5,3,4,3,3,0,0,0,0,5,5,0,4,0,2,1
3,0,6,6,6,0.13606,-0.94779,-0.97631,0.76096,-0.27607,-1.37983,1.2247,6,6,1,0,4,3,0,0,3,0,6,2,0,0,0,1
0,1,4,4,6,1.60383,-0.57545,-0.17779,-1.6209,-0.65253,-0.71126,0.7654,6,1,4,4,6,4,0,3,0,0,6,1,3,2,1,1
1,1,4,3,6,0.13606,-0.43999,-1.82919,-2.35413,-0.14277,0.52975,0.7654,3,3,0,0,2,3,0,3,0,0,3,3,0,0,0,1
0,1,4,5,1,0.04257,-0.94779,0.44585,-0.60633,-0.89891,0.52975,1.2247,5,0,0,2,5,0,0,4,0,0,6,0,0,0,0,1
2,0,6,6,6,1.02119,-0.30033,1.06238,-1.07533,0.41594,-1.37983,-0.84637,6,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0
